"Community";"Ped._gr.";"taxon_phylum";"Treatment";"Effect_size_log";"Effect_size";"adj_p";"signf"
"16S";"Humic orthic gleysol";"Thermoleophilia class (Actinobacteriota)";"L-Dairy vs No-OF";-2;-7,36;0,00172;"**"
"16S";"Humic orthic gleysol";"Microscillaceae (Bacteroidota)";"L-Hog vs No-OF";-1,27;-3,57;0,00516;"*"
"16S";"Humic orthic gleysol";"Bdellovibrionaceae (Bdellovibrionota)";"L-Hog vs No-OF";-1,68;-5,38;0,00566;"*"
"16S";"Humic orthic gleysol";"Cellvibrionaceae (Proteobacteria)";"L-Hog vs No-OF";-2,26;-9,58;0,00729;"*"
"16S";"Humic orthic gleysol";"Peptostreptococcaceae (Firmicutes)";"S-Poultry vs L-Hog";-2,77;-16;3,48e-05;"***"
"16S";"Humic orthic gleysol";"Flavobacteriaceae (Bacteroidota)";"S-Poultry vs No-OF";-1,18;-3,26;0,00575;"*"
"16S";"Orthic gleysol";"Micromonosporaceae (Actinobacteriota)";"L-Dairy vs No-OF";-2,66;-14,4;0,011;"*"
"16S";"Orthic gleysol";"Paenibacillaceae (Firmicutes)";"L-Dairy vs No-OF";2,78;16,1;0,00884;"*"
"16S";"Orthic gleysol";"WD2101_soil_group (Planctomycetota)";"L-Dairy vs No-OF";-2,15;-8,55;0,00595;"*"
"16S";"Orthic gleysol";"Azospirillaceae (Proteobacteria)";"L-Dairy vs No-OF";-2,56;-12,9;0,00666;"*"
"16S";"Orthic gleysol";"A0839 (Proteobacteria)";"L-Dairy vs No-OF";4,41;82,4;0,00542;"*"
"16S";"Orthic gleysol";"Micromonosporaceae (Actinobacteriota)";"L-Hog vs No-OF";-2,46;-11,7;0,0107;"*"
"16S";"Orthic gleysol";"Roseiflexaceae (Chloroflexi)";"L-Hog vs No-OF";-2,16;-8,66;0,00108;"**"
"16S";"Orthic gleysol";"Paenibacillaceae (Firmicutes)";"L-Hog vs No-OF";2,53;12,6;0,000313;"***"
"16S";"Orthic gleysol";"WD2101_soil_group (Planctomycetota)";"L-Hog vs No-OF";-2,22;-9,24;0,00389;"*"
"16S";"Orthic gleysol";"Hyphomonadaceae (Proteobacteria)";"L-Hog vs No-OF";2,17;8,75;0,0161;"*"
"16S";"Orthic gleysol";"A0839 (Proteobacteria)";"L-Hog vs No-OF";4,4;81,7;0,00327;"**"
"16S";"Orthic gleysol";"Xanthomonadaceae (Proteobacteria)";"L-Hog vs No-OF";1,07;2,91;0,00963;"*"
"16S";"Orthic gleysol";"Pedosphaeraceae (Verrucomicrobiota)";"L-Hog vs No-OF";-1,38;-3,97;0,0154;"*"
"16S";"Orthic gleysol";"Micromonosporaceae (Actinobacteriota)";"S-Poultry vs L-Dairy";2,6;13,4;0,0129;"*"
"16S";"Orthic gleysol";"RBG-13-54-9 (Chloroflexi)";"S-Poultry vs L-Dairy";-2,39;-10,9;0,00428;"*"
"16S";"Orthic gleysol";"WX65 (Methylomirabilota)";"S-Poultry vs L-Dairy";-2,46;-11,7;0,00937;"*"
"16S";"Orthic gleysol";"WD2101_soil_group (Planctomycetota)";"S-Poultry vs L-Dairy";2,26;9,58;0,00518;"*"
"16S";"Orthic gleysol";"Azospirillaceae (Proteobacteria)";"S-Poultry vs L-Dairy";2,71;15;0,0159;"*"
"16S";"Orthic gleysol";"A0839 (Proteobacteria)";"S-Poultry vs L-Dairy";-3,7;-40,6;0,00281;"**"
"16S";"Orthic gleysol";"Micromonosporaceae (Actinobacteriota)";"S-Poultry vs L-Hog";2,39;10,9;0,0138;"*"
"16S";"Orthic gleysol";"Roseiflexaceae (Chloroflexi)";"S-Poultry vs L-Hog";2,46;11,8;0,00142;"**"
