"","variable","Partial_R2","p_value","signif"
"1","pH",0.380663227467009,1e-04,"< 0.001"
"2","Ped._gr.",0.302776051203685,1e-04,"< 0.001"
"3","Clay_prc",0.259070172089324,1e-04,"< 0.001"
"4","GDD",0.148286220574801,0.2675,"n.s."
"5","PPT",0.136884899290177,0.145,"n.s."
"6","C_to_N_ratio",0.120334891519551,0.1274,"n.s."
"7","Silt_prc",0.113125345238286,0.0106,"< 0.05"
"8","Perennials",0.0965710630434173,0.3581,"n.s."
"9","Crop",0.0777903659169806,0.3348,"n.s."
"10","Phosphorus",0.0705074442024525,0.238,"n.s."
"11","CDI",0.0672394450233026,0.5856,"n.s."
"12","OF_type",0.0467357460582398,0.7005,"n.s."
"13","Iron",0.0232844555725658,0.5903,"n.s."
"14","Comp._index",0.00702792503925187,0.9626,"n.s."
"15","Carbon_prc",0.00585283089657851,0.739,"n.s."
"16","STIR",0.00439465478224943,0.747,"n.s."
"17","VESS",-0.00379912128877158,0.5401,"n.s."
