"","variable","Partial_R2","p_value","signif"
"1","pH",0.337810499832787,1e-04,"< 0.001"
"2","Clay_prc",0.298780149939755,0.0084,"< 0.01"
"3","Ped._gr.",0.267094807338856,0.0149,"< 0.05"
"4","PPT",0.141620864941468,0.2175,"n.s."
"5","Silt_prc",0.141526880326575,0.0216,"< 0.05"
"6","Phosphorus",0.13552489452535,0.8722,"n.s."
"7","C_to_N_ratio",0.127503933306175,0.4849,"n.s."
"8","GDD",0.0948873956804308,0.7027,"n.s."
"9","OF_type",0.040245529414713,0.2819,"n.s."
"10","Comp._index",0.0378795436824571,0.167,"n.s."
"11","Iron",0.0161423784457119,0.7925,"n.s."
"12","VESS",0.0102193439397547,0.1005,"n.s."
"13","Crop",0.00847306172237239,0.2839,"n.s."
"14","Perennials",-0.000575313948279366,0.0734,"n.s."
"15","STIR",-0.00105582456089448,0.0725,"n.s."
"16","Carbon_prc",-0.00386964092514774,0.4988,"n.s."
"17","CDI",-0.0041333279864042,0.1116,"n.s."
