"","variable","Partial_R2","p_value","signif"
"1","GDD",0.355863571463004,1e-04,"< 0.001"
"2","pH",0.291900820820475,1e-04,"< 0.001"
"3","Ped._gr.",0.259391440692379,0.0056,"< 0.01"
"4","Clay_prc",0.231202802760408,0.0059,"< 0.01"
"5","OF_type",0.22459835879724,0.0049,"< 0.01"
"6","Carbon_prc",0.221916215608159,0.1872,"n.s."
"7","PPT",0.182441968001196,0.0952,"n.s."
"8","CDI",0.144495316279714,0.02,"< 0.05"
"9","Phosphorus",0.137132133080513,0.0291,"< 0.05"
"10","Perennials",0.126831407938651,0.5347,"n.s."
"11","C_to_N_ratio",0.105319882087512,0.033,"< 0.05"
"12","Silt_prc",0.062800872909703,0.1358,"n.s."
"13","Crop",0.0397451325777494,0.4752,"n.s."
"14","STIR",0.0385489704768438,0.1028,"n.s."
"15","Comp._index",0.0258171716167275,0.438,"n.s."
"16","Iron",0.00149748603814681,0.3808,"n.s."
"17","VESS",-0.000487241876264477,0.2225,"n.s."
